장소명,주소명,상세페이지
노원구 평생교육원 장미실습장,"서울특별시 노원구 섬밭로 196 (하계동, 장미아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000215
행복둥지 작은도서관,서울특별시 양천구 신월로24길 8 (신월동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001662
올림픽수영장 문화센터,서울특별시 송파구 올림픽로 424 (방이동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000104
동대문더퍼스트데시앙A경로당,"서울특별시 동대문구 장한로27가길 37 (장안동, 동대문더퍼스트데시앙)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001670
서서울어르신복지관,서울특별시 양천구 가로공원로60가길 16 (신월동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000131
시립중랑노인종합복지관,서울특별시 중랑구 겸재로9길 45 (면목동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001111
석관실버복지센터,서울특별시 성북구 화랑로32길 88 (석관동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001642
창동아우르네,서울특별시 도봉구 마들로13길 84 (창동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002059
휘경 주민센터,서울특별시 동대문구 외대역동로6길 3 (휘경동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002143
갈월종합사회복지관,서울특별시 용산구 두텁바위로 25 (갈월동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000044
광진 이튼타워 경로당,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002425
강동마을미디어지원센터,서울특별시 강동구 올림픽로 752 (천호동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000197
천연동 자치회관 4층 학습실,서울특별시 서대문구 독립문로 15-7 (영천동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002432
도봉동어르신복지관[체험존],서울특별시 도봉구 도봉로169가길 52 (도봉동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000215
신내2동 동주민센터 IT융합교육장,서울특별시 중랑구 봉화산로 190 (관상복합청사지하1층),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000104
독산2동주민센터[체험존],서울특별시 금천구 독산로 179 (독산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000084
관악구장애인종합복지관,서울특별시 관악구 남부순환로 1914 (봉천동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000131
성북장애인단체연합회,서울특별시 성북구 오패산로3길 95 (하월곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002136
시립마포노인종합복지관,서울특별시 마포구 서강로 68 (창전동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001671
강감찬관악종합사회복지관,서울특별시 관악구 양녕로 74 (봉천동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002140
성내종합사회복지관,서울특별시 강동구 성안로 13길 56(성내동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002180
구로노인종합복지관,서울특별시 구로구 새말로16길 7 (구로동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001478
강서구립곰달래어르신복지센터[체험존],서울특별시 강서구 강서로5길 50 (화곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001621
은평문화예술회관,서울특별시 은평구 녹번로 16 (녹번동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001114
광진 이튼타워 경로당,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001646
강동마을미디어지원센터,서울특별시 강동구 올림픽로 752 (천호동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000063
